10:54:15.640 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:55:00.048 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:55:00.053 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:06:15.950 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:06:15.954 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:06:43.665 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:06:43.669 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:08:58.223 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:08:58.228 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:10:48.069 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:10:48.074 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:11:13.111 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:11:13.118 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:21:20.061 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:21:20.065 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:21:30.701 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:21:30.705 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:21:39.345 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:21:39.350 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:21:47.910 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:21:47.915 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:22:23.891 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:22:23.896 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:29:04.883 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:29:04.887 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:37:25.106 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:37:25.111 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:39:23.591 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:39:23.595 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
11:40:09.947 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
11:40:09.951 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
12:30:31.447 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:30:31.453 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
12:31:29.552 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:31:29.557 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
12:32:01.919 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:32:01.923 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
12:32:12.746 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:32:12.751 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
12:33:05.112 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:33:05.117 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
12:33:19.110 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:33:19.114 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
12:34:50.218 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
12:34:50.222 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:24:37.361 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:24:37.365 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:27:37.637 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
